id,zip_code,created_at,updated_at
205,1413,2021-09-20 10:21:50,2021-09-20 10:21:50
206,1411,2021-09-20 10:21:50,2021-09-20 10:21:50
207,1414,2021-09-20 10:21:50,2021-09-20 10:21:50
208,1412,2021-09-20 10:21:50,2021-09-20 10:21:50
209,1421,2021-09-20 10:21:50,2021-09-20 10:21:50
210,1420,2021-09-20 10:21:50,2021-09-20 10:21:50
211,1400,2021-09-20 10:21:50,2021-09-20 10:21:50
212,1462,2021-09-20 10:21:50,2021-09-20 10:21:50
213,1461,2021-09-20 10:21:50,2021-09-20 10:21:50
214,1464,2021-09-20 10:21:50,2021-09-20 10:21:50
215,1463,2021-09-20 10:21:50,2021-09-20 10:21:50
216,1460,2021-09-20 10:21:50,2021-09-20 10:21:50
217,1431,2021-09-20 10:21:50,2021-09-20 10:21:50
218,1432,2021-09-20 10:21:50,2021-09-20 10:21:50
219,1430,2021-09-20 10:21:50,2021-09-20 10:21:50
220,1640,2021-09-20 10:21:50,2021-09-20 10:21:50
221,1651,2021-09-20 10:21:50,2021-09-20 10:21:50
222,1652,2021-09-20 10:21:50,2021-09-20 10:21:50
223,1650,2021-09-20 10:21:50,2021-09-20 10:21:50
224,1605,2021-09-20 10:21:50,2021-09-20 10:21:50
225,1604,2021-09-20 10:21:50,2021-09-20 10:21:50
226,1602,2021-09-20 10:21:50,2021-09-20 10:21:50
227,1600,2021-09-20 10:21:50,2021-09-20 10:21:50
228,1603,2021-09-20 10:21:50,2021-09-20 10:21:50
229,1601,2021-09-20 10:21:50,2021-09-20 10:21:50
230,1612,2021-09-20 10:21:50,2021-09-20 10:21:50
231,1613,2021-09-20 10:21:50,2021-09-20 10:21:50
232,1611,2021-09-20 10:21:50,2021-09-20 10:21:50
233,1610,2021-09-20 10:21:50,2021-09-20 10:21:50
234,1631,2021-09-20 10:21:50,2021-09-20 10:21:50
235,1632,2021-09-20 10:21:50,2021-09-20 10:21:50
236,1630,2021-09-20 10:21:50,2021-09-20 10:21:50
237,1620,2021-09-20 10:21:50,2021-09-20 10:21:50
238,7730,2021-09-20 10:21:50,2021-09-20 10:21:50
239,7731,2021-09-20 10:21:50,2021-09-20 10:21:50
240,7723,2021-09-20 10:21:50,2021-09-20 10:21:50
241,7720,2021-09-20 10:21:50,2021-09-20 10:21:50
242,7721,2021-09-20 10:21:50,2021-09-20 10:21:50
243,7722,2021-09-20 10:21:50,2021-09-20 10:21:50
244,7710,2021-09-20 10:21:50,2021-09-20 10:21:50
245,7711,2021-09-20 10:21:50,2021-09-20 10:21:50
246,7700,2021-09-20 10:21:50,2021-09-20 10:21:50
247,8030,2021-09-20 10:21:50,2021-09-20 10:21:50
248,8040,2021-09-20 10:21:50,2021-09-20 10:21:50
249,8050,2021-09-20 10:21:50,2021-09-20 10:21:50
250,8010,2021-09-20 10:21:50,2021-09-20 10:21:50
251,8021,2021-09-20 10:21:50,2021-09-20 10:21:50
252,8022,2021-09-20 10:21:50,2021-09-20 10:21:50
